Distance;Moving Time;Elevation Gain;Time;Month;Day;Bike Type
6,1;1603;13,47;17:41:52;8;28;
65,62;10386;949,0;07:59:20;6;19;
40,27;11608;494,11;07:48:38;8;10;mtb
3,23;748;21,0;15:59:51;8;8;race bike
35,4;6102;157,0;15:38:15;8;21;trecking bike
65,38;10472;937,0;09:18:58;4;13;race bike
52,38;7736;721,0;14:07:11;9;5;race bike
25,5;3457;160,0;15:51:15;9;18;race bike
35,07;5255;116,0;04:43:51;9;13;trecking bike
44,24;6881;585,0;14:37:17;7;11;race bike
36,13;5459;138,0;15:26:58;10;17;trecking bike
36,51;7508;223,0;08:26:52;6;20;mtb
4,09;933;48,2;12:13:56;1;24;trecking bike
42,39;6424;616,0;11:41:58;2;3;race bike
57,92;7915;554,0;10:35:01;6;13;race bike
35,44;5873;153,0;16:42:52;7;22;trecking bike
14,09;3387;119,0;09:56:11;8;9;trecking bike
35,11;5738;144,0;17:00:03;8;21;trecking bike
30,71;4454;555,0;13:43:02;11;10;race bike
31,11;4763;272,0;15:42:16;7;31;race bike
35,27;4771;112,37;17:08:38;7;4;
34,82;5130;72,63;04:41:23;6;8;
28,3;4150;529,0;09:52:54;10;7;race bike
12,39;2903;227,0;12:28:44;1;24;mtb
106,12;15746;1260,0;09:04:24;3;27;race bike
33,41;5818;56,31;05:37:35;5;18;
35,64;5291;140,0;06:01:55;7;7;race bike
34,71;5412;157,0;16:41:43;5;17;trecking bike
36,39;5178;440,0;14:08:04;10;20;race bike
35,78;5716;150,0;16:11:35;9;23;trecking bike
30,32;4594;477,0;06:10:37;8;9;race bike
2,04;434;11,64;17:18:56;4;30;
49,05;7442;615,0;13:49:50;2;6;race bike
33,25;4696;210,0;14:32:37;2;20;race bike
41,89;6249;605,0;10:34:40;9;21;race bike
33,34;5096;516,0;10:40:24;5;10;race bike
40,4;6886;543,0;12:48:43;3;5;race bike
18,04;4372;386,0;15:07:24;10;7;mtb
19,6;2886;244,0;15:02:11;1;21;
114,48;15575;1008,0;08:04:58;4;9;race bike
34,62;5207;134,0;05:11:02;7;13;trecking bike
36,7;5485;140,0;16:59:04;7;16;trecking bike
44,09;6810;379,0;10:45:24;1;14;race bike
42,67;6627;316,0;12:29:39;1;8;race bike
35,44;5721;147,0;16:16:19;8;2;
56,1;8967;277,0;07:01:44;5;8;race bike
36,57;5170;294,0;15:08:40;9;12;
35,13;5150;112,49;15:32:58;7;6;
38,6;6010;134,0;04:30:53;6;14;trecking bike
56,73;8454;608,0;09:54:37;9;3;race bike
4,25;883;36,41;11:52:21;8;7;mtb
35,69;5789;157,0;10:31:51;9;14;
35,22;5739;151,0;14:02:06;6;10;trecking bike
15,24;2375;298,0;14:28:50;10;31;race bike
36,31;5339;184,0;15:53:34;5;16;
11,49;2322;46,0;17:26:43;7;16;
100,34;14871;1248,0;08:52:21;7;23;race bike
35,7;5619;145,0;18:03:15;8;3;trecking bike
35,24;5156;112,19;16:11:04;5;25;
35,0;4785;73,27;04:35:04;7;5;
48,33;6896;517,0;11:54:42;5;28;race bike
35,42;6095;162,0;14:35:13;7;23;trecking bike
34,9;4910;61,76;04:43:03;6;20;
45,51;6424;464,0;11:48:51;6;7;race bike
38,25;3915;89,0;10:15:31;7;17;
42,82;6303;466,0;15:40:43;6;26;race bike
34,64;5125;139,0;05:20:52;7;31;trecking bike
56,01;7957;659,0;15:01:57;6;8;race bike
25,14;3918;278,0;16:12:45;5;18;race bike
30,62;4789;434,0;14:15:35;5;27;race bike
9,54;1647;194,0;12:05:23;5;28;
35,42;5958;252,26;15:58:37;4;26;trecking bike
47,65;7011;623,0;09:48:15;4;2;race bike
24,54;3249;277,0;11:10:14;10;30;
20,1;2850;349,08;12:58:04;9;20;
19,04;3742;57,33;07:24:37;5;23;mtb
21,86;3724;393,72;10:59:49;9;18;race bike
35,34;5234;117,0;05:27:29;7;22;trecking bike
19,03;4130;310,0;13:57:40;1;14;mtb
24,26;5007;432,0;13:46:37;1;19;trecking bike
31,05;5178;423,0;12:06:27;7;12;race bike
13,38;2054;188,0;17:26:35;8;23;race bike
35,83;5538;424,0;08:34:23;8;6;race bike
78,78;11167;742,0;09:19:00;11;15;race bike
40,41;5757;543,0;11:40:59;6;9;race bike
35,2;5097;112,0;05:08:10;7;16;trecking bike
36,75;5479;145,0;16:56:10;8;28;trecking bike
34,71;5344;197,0;15:07:38;4;4;
18,07;3973;322,0;14:05:10;5;27;mtb
35,18;5104;238,02;16:20:14;5;30;race bike
33,53;5080;535,0;13:38:26;4;7;race bike
35,89;5712;133,0;06:11:01;9;14;trecking bike
34,88;5224;157,0;06:04:11;10;17;trecking bike
35,46;5770;296,0;16:52:12;6;30;trecking bike
11,67;2745;230,0;12:33:46;1;1;mtb
53,32;8411;578,0;14:20:02;8;30;race bike
35,3;5100;185,0;15:14:42;9;19;race bike
76,34;12952;558,0;10:14:55;8;9;race bike
34,74;4907;222,44;06:06:10;5;29;
35,11;5870;154,0;15:21:06;10;19;trecking bike
14,72;3362;248,0;14:32:52;10;1;mtb
36,02;5771;151,0;14:23:05;4;25;trecking bike
11,26;2255;107,44;05:51:38;8;1;mtb
34,64;5013;140,0;05:37:41;5;23;
35,76;5381;157,0;13:25:40;6;14;trecking bike
3,94;748;61,83;06:36:31;9;6;
36,63;5410;142,0;15:28:59;9;20;trecking bike
20,38;4071;142,59;08:33:19;8;23;mtb
42,78;5961;365,0;10:55:10;5;12;race bike
35,68;5537;116,0;05:45:20;9;3;trecking bike
36,57;5260;458,0;14:54:26;9;24;race bike
34,89;5323;120,0;05:08:54;10;16;trecking bike
34,89;5582;123,0;06:57:08;3;5;trecking bike
100,88;13577;515,0;07:59:45;3;30;
91,39;14135;1114,0;10:43:24;3;27;race bike
19,74;4620;82,96;09:27:22;8;4;
35,67;5377;71,38;06:25:14;6;2;
57,56;13048;1935,0;08:01:06;6;18;
72,16;11722;283,0;08:54:18;10;25;trecking bike
21,81;2908;46,0;06:15:34;5;25;race bike
8,89;2023;143,0;15:35:02;9;15;mtb
41,31;5772;554,0;14:00:30;5;14;race bike
128,47;21010;2079,0;08:26:39;8;12;race bike
45,27;6744;493,0;14:28:48;5;17;race bike
11,55;2258;100,78;05:55:55;7;22;mtb
23,74;3820;137,58;06:56:37;8;27;
35,6;5729;122,0;07:03:19;9;29;trecking bike
34,95;4767;142,86;16:03:54;5;29;
35,22;5326;245,66;15:56:22;5;29;
35,69;5750;202,0;15:39:37;9;21;trecking bike
16,01;2522;218,0;12:34:36;12;29;race bike
45,37;6578;407,0;14:42:03;8;27;race bike
2,51;431;18,0;08:42:12;10;3;
35,93;5948;139,0;16:26:34;9;21;trecking bike
34,79;5400;123,0;05:09:16;9;6;
40,63;8086;608,0;09:47:06;1;27;trecking bike
16,88;2763;34,25;06:42:50;6;14;race bike
35,67;6229;743,0;07:43:38;7;24;race bike
34,61;5040;143,35;15:42:54;5;27;
12,22;2388;312,0;05:15:31;8;8;race bike
29,39;4429;405,0;16:33:05;7;25;
35,25;5896;162,0;16:23:30;5;15;trecking bike
219,32;36607;4838,0;04:01:33;7;27;race bike
35,31;4853;112,37;16:20:08;7;8;
35,34;5711;147,0;15:48:44;8;26;trecking bike
47,01;7112;562,0;11:52:50;9;30;
30,14;4843;431,0;13:04:58;1;7;race bike
24,97;3750;362,0;15:08:03;9;15;race bike
36,66;5654;147,0;15:18:44;9;5;trecking bike
76,81;12372;1155,46;06:16:17;4;24;
15,13;3511;239,0;10:47:03;1;28;trecking bike
6,57;1549;17,23;15:24:02;6;11;race bike
102,42;17194;1285,0;08:00:20;8;15;
36,67;5460;139,0;16:43:55;7;17;trecking bike
37,31;5339;140,0;17:11:06;8;14;trecking bike
34,64;4689;139,0;04:39:46;8;8;trecking bike
106,03;17155;1256,0;08:40:09;4;14;race bike
35,32;5277;59,7;05:29:06;5;6;
34,93;5334;175,0;17:55:39;7;5;trecking bike
100,55;14945;1031,0;08:39:23;6;9;race bike
73,39;11293;931,0;09:40:25;5;30;race bike
33,31;4549;304,0;12:37:56;7;18;race bike
35,02;5227;116,0;06:51:42;3;16;race bike
34,91;5847;182,0;16:37:00;9;12;trecking bike
10,65;2250;234,0;10:06:20;1;14;mtb
51,33;7435;217,0;11:14:56;5;19;race bike
34,89;4882;486,0;15:23:29;9;8;race bike
127,56;19946;1828,0;08:09:19;4;10;race bike
36,01;5695;123,0;06:15:10;6;19;trecking bike
40,61;6198;736,02;06:09:21;6;3;race bike
74,58;10645;665,0;10:15:02;4;25;race bike
31,39;4902;445,0;12:52:18;1;1;race bike
16,28;2412;224,0;14:32:41;1;15;
22,99;3767;224,0;17:24:38;5;31;race bike
28,57;5012;495,27;13:36:05;10;9;race bike
52,17;7356;738,0;10:55:27;5;21;
50,62;7303;586,0;10:27:29;9;12;race bike
10,05;2323;226,0;13:03:41;12;17;mtb
10,55;2240;13,8;09:00:45;5;22;mtb
8,43;1471;188,0;10:25:41;6;12;
46,98;6840;584,0;11:22:21;3;15;race bike
31,51;4812;409,0;16:31:20;7;19;race bike
17,27;3035;190,0;14:13:51;12;29;mtb
208,89;31544;3606,0;03:48:30;6;26;
50,13;7563;578,0;10:34:30;9;29;race bike
34,89;5200;119,0;04:03:48;4;17;trecking bike
10,08;2595;207,0;15:33:19;7;30;mtb
35,16;4993;489,0;10:49:57;4;23;race bike
34,89;5468;122,0;04:42:18;4;25;trecking bike
15,64;3135;210,0;13:36:20;12;7;mtb
34,79;5144;71,69;05:28:22;6;27;
41,4;5844;546,0;08:51:31;7;2;race bike
46,13;6492;585,0;05:41:08;8;12;race bike
35,64;5242;111,0;05:35:36;6;15;trecking bike
13,79;2207;116,0;19:06:54;9;19;
36,54;5582;466,0;13:16:37;11;22;race bike
25,3;4606;280,0;08:43:10;12;9;trecking bike
34,61;5044;143,0;05:42:27;7;6;race bike
26,8;4011;380,0;16:49:18;7;18;race bike
35,51;6403;129,0;06:27:43;3;14;trecking bike
34,72;5031;61,93;05:43:30;9;12;
33,66;4825;464,0;13:18:10;11;4;race bike
35,17;5073;496,0;09:24:35;5;28;race bike
26,34;5235;459,0;09:50:26;4;20;mtb
41,32;5684;546,0;07:24:43;4;29;
40,55;6350;479,0;11:42:56;1;2;race bike
30,58;4382;288,0;12:58:28;10;2;race bike
35,21;5914;161,0;15:38:37;10;4;trecking bike
25,14;3867;380,0;15:37:26;9;17;race bike
11,52;3118;104,0;12:49:35;2;10;trecking bike
13,27;2107;190,1;16:02:56;7;8;race bike
24,54;3275;265,0;12:32:02;10;16;
20,72;3427;347,0;11:48:27;10;31;race bike
35,39;6063;205,0;13:12:52;5;26;
148,49;19324;1444,0;05:10:59;5;26;trecking bike
35,19;5450;504,0;13:56:12;3;10;
36,51;5647;474,0;11:23:17;11;28;race bike
34,38;5357;125,0;06:32:13;4;15;trecking bike
35,18;5239;112,76;15:18:37;5;27;
18,24;3853;62,84;09:35:43;8;9;
25,99;5297;155,57;12:01:55;8;19;mtb
35,0;5094;181,0;16:39:14;7;4;trecking bike
48,77;8004;1010,0;06:28:17;5;10;race bike
1,53;484;79,0;15:25:26;9;16;
136,72;23314;2355,0;06:27:13;6;8;race bike
30,49;4744;446,0;16:39:53;7;14;race bike
32,26;4686;216,49;06:34:02;8;25;mtb
50,72;7212;672,0;05:48:41;5;21;race bike
69,09;10143;941,0;10:57:30;5;1;race bike
114,79;15967;1071,0;08:32:42;3;27;
103,61;14161;921,0;12:04:16;9;16;race bike
34,96;5231;117,0;05:48:09;9;18;trecking bike
25,12;3963;386,0;12:42:14;2;17;race bike
34,9;5098;170,0;17:19:39;8;29;trecking bike
76,46;11916;1171,0;13:17:49;6;12;race bike
34,76;4806;185,0;15:35:56;6;2;race bike
35,07;5807;131,0;04:28:45;7;18;trecking bike
35,0;5030;71,88;04:39:46;7;11;
126,37;19012;1591,0;07:49:25;3;29;
103,07;15164;1140,0;09:15:30;7;9;race bike
24,28;3442;279,0;10:04:51;12;23;race bike
35,3;5173;150,0;05:00:49;6;21;race bike
10,44;2080;106,0;13:40:57;8;26;trecking bike
36,11;5534;146,0;15:31:08;10;25;trecking bike
101,23;12511;525,0;08:22:22;4;16;race bike
37,71;5554;113,39;16:05:16;9;6;
27,18;4294;423,0;16:01:27;7;29;race bike
